Name,Shape_Leng,Shape_Area,WasteWater,PotableWat,Population,PopDensity,Area_sqKM,Area_Parks,Percent_Pa,KM_Rd,KM_WalkTra,NumBuildin,NumResiden,Perc_Rds,Perc_WaTra,Build_sqkm,Perc_Build,Transit_Ar,Perc_Trans,GreenRatin,ZeroTo1,Pop_U16,Pop_16t65,Pop_O65,EnviroWeig,SocialWeig,EconWeight
Hill Area,0.216699452,0.001970087,2.151163,2.11465,2078,1224.108591,16.97970274,1.801332,10.61,70.491325,1.00918,2838,2363,2.49,0.02,0.765968,4.51,7.836102,46.15,0.300668542,0.300668542,1651,1479,2790,0.040652171,0.907373523,0.040652
Skyline Acres - Southwood Park,0.182960778,0.002081584,2.013514,1.993289,1292,720.2143401,17.94743492,0.495759,2.76,78.3042,5.804142,2699,2438,2.62,0.1,0.48795,2.72,5.850438,32.6,0.844134118,0.844134118,2016,9201,1709,0.071684292,2.64651724,0.071684
Lincoln Heights,0.215448022,0.001861569,1.531646,1.307692,4824,300.4692812,16.05488581,0.330494,2.06,50.25143,5.454689,1537,1353,1.88,0.1,0.269393,1.68,3.809641,23.73,0.221016437,0.221016437,738,3450,636,0.01329044,0.705710725,0.01329
Maugerville,0.198886999,0.001127902,2.172414,2.216667,7502,772.0095896,9.717495872,0.454,4.67,35.7281,8.625948,1800,1653,2.21,0.27,0.217692,2.24,5.775372,59.43,0.248177942,0.248177942,1127,5338,1037,0.078624846,0.64380173,0.078625
Marysville,0.364940063,0.00285284,1.922078,1.904523,1441,586.8760413,24.56396068,3.280963,13.36,61.06327688,9.833252,3973,3729,1.49,0.12,0.493564,2.01,8.838394,35.98,0.348110124,0.348110124,1149,1024,1895,0.108745153,0.906628491,0.108745
Devon Reserve,0.121750107,0.00020477,1.6,1.52381,2991,1695.195413,1.764398356,0.003919,0.22,7.381013,0.364072,402,201,2.51,0.06,0.044316,2.51,0.540061,30.61,0.218816461,0.218816461,591,2098,302,0.006196485,0.714930063,0.006196
Nashwaaksis,0.223724257,0.002742702,1.804469,1.745098,1503,636.8117837,23.61451277,0.929385,3.94,102.8564,10.239512,5697,5697,2.61,0.13,0.779046,3.3,9.799263,41.5,0.279964719,0.279964719,1188,1070,2083,0.02840769,0.866930915,0.028408
Douglas-Keswick,0.095187188,0.0004139,1.027778,1,2186,613.2753875,3.564467195,0.064702,1.82,10.467593,2.794542,518,473,1.76,0.24,0.061628,1.73,1.510562,42.38,0.227847059,0.227847059,336,1554,296,0.024624644,0.714318456,0.006196
Woodstock Road,0.204171975,0.001036144,1.596639,1.508621,8516,953.9795619,8.926815982,0.242701,2.72,53.4006,5.914979,2672,2493,3.59,0.2,0.329294,3.69,4.407778,49.38,0.211134824,0.211134824,1281,6064,1171,0.015437857,0.667760984,0.015438
Wilmington,0.028223147,4.35878E-05,2.75,2.6,4469,11901.24317,0.37550699,0.160939,42.86,2.8989,0.666034,111,72,4.63,0.53,0.046241,12.31,0.375507,100,0.296286951,0.296286951,672,3178,619,0.146948436,0.644743778,0.146948
Rabbit town,0.034840818,6.25996E-05,2.3,2.16,3726,6908.315763,0.539349985,0,0,5.9986,0.571102,433,397,6.67,0.32,0.085773,15.9,0.538137,99.78,0.20175891,0.20175891,559,2654,513,0.01279411,0.64267685,0.012794
Carleton,0.017120968,1.70557E-05,2.5,4,2059,14012.12083,0.146944208,0,0,1.862891,0,186,174,7.61,0,0.031052,21.13,0.146944,100,0.20329897,0.20329897,306,1467,286,0.01457018,0.643666267,0.01457
Victoria Circle,0.017086544,1.47243E-05,3,1,522,4115.361391,0.126841837,0.006173,4.87,2.02999,0,100,68,9.6,0,0.023544,18.56,0.126842,100,0.243931596,0.243931596,78,373,71,0.072081264,0.644915878,0.072081
Downtown,0.042312683,7.35616E-05,1.685714,2.636364,1505,2374.827681,0.633730191,0.088017,13.89,9.809757,0.77786,290,111,9.29,0.37,0.15958,25.18,0.63373,100,0.239998086,0.239998086,226,1073,206,0.065568281,0.647001153,0.065568
Town Plat,0.041112666,7.08059E-05,2.608696,2.952381,1944,3186.25972,0.610119755,0.14343,23.51,5.1236279,3.040607,395,386,5.04,1.5,0.05641,9.25,0.61012,100,0.274773506,0.274773506,290,1384,270,0.116020304,0.645197847,0.11602
A,0.023004585,2.71372E-05,4,4,1608,6878.037967,0.233787602,0.001704,0.73,4.442992,0,330,321,11.4,0,0.047221,20.2,0.233788,100,0.208300101,0.208300101,243,1143,222,0.020846716,0.645691142,0.020847
B,0.030716142,4.72628E-05,1.8125,2.555556,3659,8985.434493,0.407214587,0.034851,8.56,4.97832,0.926716,405,379,7.34,0.68,0.062267,15.29,0.407215,100,0.223718472,0.223718472,552,2602,505,0.043528102,0.644162737,0.043528
Sunshine Gardens,0.028380985,4.00227E-05,2.705882,3,4840,14037.42543,0.344792571,0.010508,3.05,4.31783,0.554698,395,374,7.51,0.48,0.047285,13.71,0.344793,100,0.208732773,0.208732773,728,3441,671,0.021771689,0.644975096,0.021772
C,0.038155036,2.4382E-05,4,0,870,4142.179702,0.210034345,0.008122,3.87,0.9245202,0.786701,32,20,2.64,1.12,0.008783,4.18,0.210034,100,0.256245824,0.256245824,132,618,120,0.088639206,0.647328071,0.088639
Waterfront,0.032021958,9.41981E-06,0,0,175,2156.622794,0.081145391,0.059734,73.61,2.024923,1.281326,3,0,14.97,4.74,0.000449,0.55,0.081145,100,0.51653607,0.51653607,26,125,24,0.455536336,0.658869008,0.455536
